replicate,pop,gen,disS,Fis,selModel
1,STL,1,0.91,-1,incompDisSel
1,STM,1,0.91,-1,incompDisSel
1,STH,1,0.91,-1,incompDisSel
1,STL,2,0.91,-0.1571,incompDisSel
1,STM,2,0.91,-0.4627,incompDisSel
1,STH,2,0.91,-0.3279,incompDisSel
1,STL,3,0.91,-0.4,incompDisSel
1,STM,3,0.91,-0.3611,incompDisSel
1,STH,3,0.91,-0.4848,incompDisSel
1,STL,4,0.91,-0.2895,incompDisSel
1,STM,4,0.91,-0.2895,incompDisSel
1,STH,4,0.91,-0.3425,incompDisSel
1,STL,5,0.91,-0.3243,incompDisSel
1,STM,5,0.91,-0.3425,incompDisSel
1,STH,5,0.91,-0.3067,incompDisSel
1,STL,6,0.91,-0.2564,incompDisSel
1,STM,6,0.91,-0.2727,incompDisSel
1,STH,6,0.91,-0.2564,incompDisSel
1,STL,7,0.91,-0.225,incompDisSel
1,STM,7,0.91,-0.2727,incompDisSel
1,STH,7,0.91,-0.4627,incompDisSel
1,STL,8,0.91,-0.2099,incompDisSel
1,STM,8,0.91,-0.3067,incompDisSel
1,STH,8,0.91,-0.2405,incompDisSel
1,STL,9,0.91,-0.2727,incompDisSel
1,STM,9,0.91,-0.2405,incompDisSel
1,STH,9,0.91,-0.2405,incompDisSel
1,STL,10,0.91,-0.3243,incompDisSel
1,STM,10,0.91,-0.1807,incompDisSel
1,STH,10,0.91,-0.3067,incompDisSel
1,STL,11,0.91,-0.2379,incompDisSel
1,STM,11,0.91,-0.2564,incompDisSel
1,STH,11,0.91,-0.1951,incompDisSel
1,STL,12,0.91,-0.1557,incompDisSel
1,STM,12,0.91,-0.2727,incompDisSel
1,STH,12,0.91,-0.3243,incompDisSel
1,STL,13,0.91,-0.3425,incompDisSel
1,STM,13,0.91,-0.4,incompDisSel
1,STH,13,0.91,-0.3067,incompDisSel
1,STL,14,0.91,-0.4203,incompDisSel
1,STM,14,0.91,-0.3067,incompDisSel
1,STH,14,0.91,-0.2727,incompDisSel
1,STL,15,0.91,-0.3243,incompDisSel
1,STM,15,0.91,-0.2564,incompDisSel
1,STH,15,0.91,-0.3425,incompDisSel
1,STL,16,0.91,-0.2564,incompDisSel
1,STM,16,0.91,-0.3425,incompDisSel
1,STH,16,0.91,-0.3611,incompDisSel
1,STL,17,0.91,-0.1951,incompDisSel
1,STM,17,0.91,-0.3243,incompDisSel
1,STH,17,0.91,-0.4412,incompDisSel
1,STL,18,0.91,-0.3425,incompDisSel
1,STM,18,0.91,-0.3425,incompDisSel
1,STH,18,0.91,-0.176,incompDisSel
1,STL,19,0.91,-0.3611,incompDisSel
1,STM,19,0.91,-0.1807,incompDisSel
1,STH,19,0.91,-0.3803,incompDisSel
1,STL,20,0.91,-0.1354,incompDisSel
1,STM,20,0.91,-0.3243,incompDisSel
1,STH,20,0.91,-0.2727,incompDisSel
2,STL,1,0.91,-1,incompDisSel
2,STM,1,0.91,-1,incompDisSel
2,STH,1,0.91,-1,incompDisSel
2,STL,2,0.91,-0.4177,incompDisSel
2,STM,2,0.91,-0.5806,incompDisSel
2,STH,2,0.91,-0.4678,incompDisSel
2,STL,3,0.91,-0.3243,incompDisSel
2,STM,3,0.91,-0.3611,incompDisSel
2,STH,3,0.91,-0.2804,incompDisSel
2,STL,4,0.91,-0.4,incompDisSel
2,STM,4,0.91,-0.1951,incompDisSel
2,STH,4,0.91,-0.3425,incompDisSel
2,STL,5,0.91,-0.3425,incompDisSel
2,STM,5,0.91,-0.1964,incompDisSel
2,STH,5,0.91,-0.3425,incompDisSel
2,STL,6,0.91,-0.3243,incompDisSel
2,STM,6,0.91,-0.3611,incompDisSel
2,STH,6,0.91,-0.3425,incompDisSel
2,STL,7,0.91,-0.4,incompDisSel
2,STM,7,0.91,-0.2895,incompDisSel
2,STH,7,0.91,-0.2564,incompDisSel
2,STL,8,0.91,-0.2405,incompDisSel
2,STM,8,0.91,-0.2564,incompDisSel
2,STH,8,0.91,-0.2895,incompDisSel
2,STL,9,0.91,-0.2405,incompDisSel
2,STM,9,0.91,-0.1951,incompDisSel
2,STH,9,0.91,-0.2405,incompDisSel
2,STL,10,0.91,-0.2727,incompDisSel
2,STM,10,0.91,-0.2099,incompDisSel
2,STH,10,0.91,-0.2405,incompDisSel
2,STL,11,0.91,-0.3067,incompDisSel
2,STM,11,0.91,-0.1667,incompDisSel
2,STH,11,0.91,-0.4,incompDisSel
2,STL,12,0.91,-0.2564,incompDisSel
2,STM,12,0.91,-0.2727,incompDisSel
2,STH,12,0.91,-0.2405,incompDisSel
2,STL,13,0.91,-0.4203,incompDisSel
2,STM,13,0.91,-0.4,incompDisSel
2,STH,13,0.91,-0.3067,incompDisSel
2,STL,14,0.91,-0.3611,incompDisSel
2,STM,14,0.91,-0.3425,incompDisSel
2,STH,14,0.91,-0.4,incompDisSel
2,STL,15,0.91,-0.1951,incompDisSel
2,STM,15,0.91,-0.2727,incompDisSel
2,STH,15,0.91,-0.3243,incompDisSel
2,STL,16,0.91,-0.1964,incompDisSel
2,STM,16,0.91,-0.4203,incompDisSel
2,STH,16,0.91,-0.2895,incompDisSel
2,STL,17,0.91,-0.4,incompDisSel
2,STM,17,0.91,-0.4,incompDisSel
2,STH,17,0.91,-0.2099,incompDisSel
